ID,Distance,Layer,Type,Method
1,0.6925893515320034,conv1,WT,SaSD
1,0.86488554823579,conv2,WT,SaSD
1,0.9698762839315076,dense1,WT,SaSD
1,0.8911995907516983,dense2,WT,SaSD
1,0.9579269271185646,dense3,WT,SaSD
2,0.6806110887682578,conv1,WT,SaSD
2,0.8652047619378069,conv2,WT,SaSD
2,0.969538086777595,dense1,WT,SaSD
2,0.8927050078744085,dense2,WT,SaSD
2,0.9805199654329817,dense3,WT,SaSD
3,0.6750700547920216,conv1,WT,SaSD
3,0.8627394013226612,conv2,WT,SaSD
3,0.9701222963939923,dense1,WT,SaSD
3,0.8912549006836642,dense2,WT,SaSD
3,0.9746224115371487,dense3,WT,SaSD
4,0.6752272269871428,conv1,WT,SaSD
4,0.8641843558030583,conv2,WT,SaSD
4,0.9700725665357306,dense1,WT,SaSD
4,0.892427433915308,dense2,WT,SaSD
4,0.9604416517479653,dense3,WT,SaSD
5,0.686188815148882,conv1,WT,SaSD
5,0.8673569307609476,conv2,WT,SaSD
5,0.9699330914489319,dense1,WT,SaSD
5,0.8892109797805213,dense2,WT,SaSD
5,0.9679982867587619,dense3,WT,SaSD
6,0.683967880599246,conv1,WT,SaSD
6,0.8640301830182437,conv2,WT,SaSD
6,0.9700662288941968,dense1,WT,SaSD
6,0.8902484770159744,dense2,WT,SaSD
6,0.9542516713742849,dense3,WT,SaSD
7,0.6742750321884353,conv1,WT,SaSD
7,0.8644703414009898,conv2,WT,SaSD
7,0.9700354757033646,dense1,WT,SaSD
7,0.8913606495694473,dense2,WT,SaSD
7,0.9655621378986379,dense3,WT,SaSD
8,0.6622505036646146,conv1,WT,SaSD
8,0.8624440225639991,conv2,WT,SaSD
8,0.9698609038425658,dense1,WT,SaSD
8,0.8909662588327663,dense2,WT,SaSD
8,0.973921414184473,dense3,WT,SaSD
9,0.6555342256749959,conv1,WT,SaSD
9,0.8633135756167053,conv2,WT,SaSD
9,0.9701146389628698,dense1,WT,SaSD
9,0.8924733264755685,dense2,WT,SaSD
9,0.9540957876110829,dense3,WT,SaSD
10,0.6835098112671641,conv1,WT,SaSD
10,0.8643830423186324,conv2,WT,SaSD
10,0.970302196190319,dense1,WT,SaSD
10,0.8917539369021319,dense2,WT,SaSD
10,0.9802059800664452,dense3,WT,SaSD
11,0.6716014849631577,conv1,WT,SaSD
11,0.8629202361900858,conv2,WT,SaSD
11,0.9696624021090314,dense1,WT,SaSD
11,0.8921984859369279,dense2,WT,SaSD
11,0.9716278367342198,dense3,WT,SaSD
12,0.6817898867101896,conv1,WT,SaSD
12,0.8651976930208527,conv2,WT,SaSD
12,0.9699192647323002,dense1,WT,SaSD
12,0.8913988500993555,dense2,WT,SaSD
12,0.9711254013800643,dense3,WT,SaSD
13,0.6728816614537638,conv1,WT,SaSD
13,0.8648849911648973,conv2,WT,SaSD
13,0.9699261507504211,dense1,WT,SaSD
13,0.8920120683768888,dense2,WT,SaSD
13,0.967230284073149,dense3,WT,SaSD
14,0.6732913610404903,conv1,WT,SaSD
14,0.861921536025806,conv2,WT,SaSD
14,0.9703085879778635,dense1,WT,SaSD
14,0.8911089143938201,dense2,WT,SaSD
14,0.971906720320377,dense3,WT,SaSD
15,0.6953993540160819,conv1,WT,SaSD
15,0.866194531768804,conv2,WT,SaSD
15,0.9701963309073024,dense1,WT,SaSD
15,0.8917368631643445,dense2,WT,SaSD
15,0.9629467206143228,dense3,WT,SaSD
16,0.6648291417018439,conv1,WT,SaSD
16,0.8613791728961184,conv2,WT,SaSD
16,0.9702793874126026,dense1,WT,SaSD
16,0.8920254749782883,dense2,WT,SaSD
16,0.9604637276196509,dense3,WT,SaSD
17,0.6627738221101225,conv1,WT,SaSD
17,0.860957600907551,conv2,WT,SaSD
17,0.9697925086562336,dense1,WT,SaSD
17,0.8906964397944601,dense2,WT,SaSD
17,0.9601109917651269,dense3,WT,SaSD
18,0.6687990454758305,conv1,WT,SaSD
18,0.8643769292616261,conv2,WT,SaSD
18,0.9699525414964862,dense1,WT,SaSD
18,0.8900523601532715,dense2,WT,SaSD
18,0.9658678101178101,dense3,WT,SaSD
19,0.6791880224554858,conv1,WT,SaSD
19,0.864814862646894,conv2,WT,SaSD
19,0.9697710986870645,dense1,WT,SaSD
19,0.8933220645619384,dense2,WT,SaSD
19,0.9585346243653557,dense3,WT,SaSD
20,0.6726261750751399,conv1,WT,SaSD
20,0.8609007945767022,conv2,WT,SaSD
20,0.9698425505167643,dense1,WT,SaSD
20,0.8915677897281156,dense2,WT,SaSD
20,0.9632223102654587,dense3,WT,SaSD
21,0.6709584282085733,conv1,WT,SaSD
21,0.864897022961342,conv2,WT,SaSD
21,0.9697909766606025,dense1,WT,SaSD
21,0.890546670866716,dense2,WT,SaSD
21,0.9639923646780965,dense3,WT,SaSD
22,0.6846242800752524,conv1,WT,SaSD
22,0.8647859861353918,conv2,WT,SaSD
22,0.9701363720832099,dense1,WT,SaSD
22,0.8916501049076895,dense2,WT,SaSD
22,0.9590409572784939,dense3,WT,SaSD
23,0.6730285866551105,conv1,WT,SaSD
23,0.8617463513282022,conv2,WT,SaSD
23,0.9703573097400688,dense1,WT,SaSD
23,0.892146909559568,dense2,WT,SaSD
23,0.9596179275289897,dense3,WT,SaSD
24,0.6867522762271698,conv1,WT,SaSD
24,0.8632587176284332,conv2,WT,SaSD
24,0.9699606731621568,dense1,WT,SaSD
24,0.8929995396507914,dense2,WT,SaSD
24,0.9752963772839548,dense3,WT,SaSD
25,0.668316069143275,conv1,WT,SaSD
25,0.8652790681553169,conv2,WT,SaSD
25,0.9698645534849065,dense1,WT,SaSD
25,0.8919701622105655,dense2,WT,SaSD
25,0.9709021627298938,dense3,WT,SaSD
26,0.6667400751687468,conv1,WT,SaSD
26,0.8636612156739923,conv2,WT,SaSD
26,0.9700606787631207,dense1,WT,SaSD
26,0.8936525156981927,dense2,WT,SaSD
26,0.9753979070574814,dense3,WT,SaSD
27,0.6789492865719162,conv1,WT,SaSD
