ID,Distance,Layer,Type,Method
1,0.6125591601005204,conv1,WT,SaSD
1,0.8443027111969559,conv2,WT,SaSD
1,0.9703380334719521,dense1,WT,SaSD
1,0.8916960776526544,dense2,WT,SaSD
1,0.9697002315300447,dense3,WT,SaSD
2,0.6276842464112684,conv1,WT,SaSD
2,0.840283022889007,conv2,WT,SaSD
2,0.9701024466736913,dense1,WT,SaSD
2,0.8910967814654946,dense2,WT,SaSD
2,0.957838547802913,dense3,WT,SaSD
3,0.6258429887106357,conv1,WT,SaSD
3,0.850362739946116,conv2,WT,SaSD
3,0.9702500204437889,dense1,WT,SaSD
3,0.8921940353843667,dense2,WT,SaSD
3,0.963545134365803,dense3,WT,SaSD
4,0.6381131672147298,conv1,WT,SaSD
4,0.8413740053976486,conv2,WT,SaSD
4,0.9704613249592917,dense1,WT,SaSD
4,0.8918479504371506,dense2,WT,SaSD
4,0.9755404131597132,dense3,WT,SaSD
5,0.6169416010868216,conv1,WT,SaSD
5,0.8465804404917301,conv2,WT,SaSD
5,0.9700944694196291,dense1,WT,SaSD
5,0.891298573591691,dense2,WT,SaSD
5,0.974359600710484,dense3,WT,SaSD
6,0.6021454941606597,conv1,WT,SaSD
6,0.8429007150379662,conv2,WT,SaSD
6,0.9704300570715483,dense1,WT,SaSD
6,0.891916667642765,dense2,WT,SaSD
6,0.9722359710759273,dense3,WT,SaSD
7,0.6376043305464745,conv1,WT,SaSD
7,0.844183918604383,conv2,WT,SaSD
7,0.969698916845855,dense1,WT,SaSD
7,0.8924388531719565,dense2,WT,SaSD
7,0.9595860112545083,dense3,WT,SaSD
8,0.5730504368486905,conv1,WT,SaSD
8,0.8453240667092696,conv2,WT,SaSD
8,0.9703555911061474,dense1,WT,SaSD
8,0.8924185743577924,dense2,WT,SaSD
8,0.9612028703770369,dense3,WT,SaSD
9,0.6135930080438353,conv1,WT,SaSD
9,0.8460593791755677,conv2,WT,SaSD
9,0.9699062090429296,dense1,WT,SaSD
9,0.8921053774296415,dense2,WT,SaSD
9,0.9620559651408318,dense3,WT,SaSD
10,0.6417465708928799,conv1,WT,SaSD
10,0.8469083644158841,conv2,WT,SaSD
10,0.970302006771252,dense1,WT,SaSD
10,0.8941613747258534,dense2,WT,SaSD
10,0.9641886079516743,dense3,WT,SaSD
11,0.6030535691840839,conv1,WT,SaSD
11,0.8382345259557561,conv2,WT,SaSD
11,0.9703951938412715,dense1,WT,SaSD
11,0.8928693083829886,dense2,WT,SaSD
11,0.9557565933708456,dense3,WT,SaSD
12,0.6135584454862948,conv1,WT,SaSD
12,0.8463390592425791,conv2,WT,SaSD
12,0.9701139403190804,dense1,WT,SaSD
12,0.8928623678883938,dense2,WT,SaSD
12,0.9600994080736278,dense3,WT,SaSD
13,0.6231816054656127,conv1,WT,SaSD
13,0.8413776575085316,conv2,WT,SaSD
13,0.9702753402410813,dense1,WT,SaSD
