ID,Distance,Layer,Condition,Method
1,0.6685313889273352,conv1,WTs_CIFAR,SaSD
1,0.8618483525305742,conv2,WTs_CIFAR,SaSD
1,0.9697900908150654,dense1,WTs_CIFAR,SaSD
1,0.8906466894871528,dense2,WTs_CIFAR,SaSD
1,0.9619768824999324,dense3,WTs_CIFAR,SaSD
2,0.6638628542429578,conv1,WTs_CIFAR,SaSD
2,0.8625085295003727,conv2,WTs_CIFAR,SaSD
2,0.9701527099441944,dense1,WTs_CIFAR,SaSD
2,0.8924306725414578,dense2,WTs_CIFAR,SaSD
2,0.97302641947080315,dense3,WTs_CIFAR,SaSD
3,0.668059997882342,conv1,WTs_CIFAR,SaSD
3,0.8593137099848249,conv2,WTs_CIFAR,SaSD
3,0.9700984680330342,dense1,WTs_CIFAR,SaSD
3,0.8928307758260771,dense2,WTs_CIFAR,SaSD
3,0.9480432782930054,dense3,WTs_CIFAR,SaSD
4,0.670432843058859,conv1,WTs_CIFAR,SaSD
4,0.8606982700679346,conv2,WTs_CIFAR,SaSD
4,0.9700700874162851,dense1,WTs_CIFAR,SaSD
4,0.8923928046419031,dense2,WTs_CIFAR,SaSD
4,0.9778208642998774,dense3,WTs_CIFAR,SaSD
5,0.6812986683965545,conv1,WTs_CIFAR,SaSD
5,0.8622544856774124,conv2,WTs_CIFAR,SaSD
5,0.9699884245958642,dense1,WTs_CIFAR,SaSD
5,0.8918926385087106,dense2,WTs_CIFAR,SaSD
5,0.9589175537221168,dense3,WTs_CIFAR,SaSD
6,0.6605637826226062,conv1,WTs_CIFAR,SaSD
6,0.8613147662312286,conv2,WTs_CIFAR,SaSD
6,0.9699527656380686,dense1,WTs_CIFAR,SaSD
6,0.8928385779387144,dense2,WTs_CIFAR,SaSD
6,0.9507768258580128,dense3,WTs_CIFAR,SaSD
7,0.6668028720908219,conv1,WTs_CIFAR,SaSD
7,0.859975193615693,conv2,WTs_CIFAR,SaSD
7,0.9699345003396331,dense1,WTs_CIFAR,SaSD
7,0.8904541883289432,dense2,WTs_CIFAR,SaSD
7,0.955497670225407,dense3,WTs_CIFAR,SaSD
8,0.6691307644910345,conv1,WTs_CIFAR,SaSD
8,0.8614796449854,conv2,WTs_CIFAR,SaSD
8,0.970096228332441,dense1,WTs_CIFAR,SaSD
8,0.8922464880484502,dense2,WTs_CIFAR,SaSD
8,0.9715493495215803,dense3,WTs_CIFAR,SaSD
9,0.6599630253969456,conv1,WTs_CIFAR,SaSD
9,0.8599375522034903,conv2,WTs_CIFAR,SaSD
9,0.9697824578268418,dense1,WTs_CIFAR,SaSD
9,0.8914612492771806,dense2,WTs_CIFAR,SaSD
9,0.969521460671935,dense3,WTs_CIFAR,SaSD
10,0.6635203970597257,conv1,WTs_CIFAR,SaSD
10,0.8600257484740406,conv2,WTs_CIFAR,SaSD
10,0.9699940904801243,dense1,WTs_CIFAR,SaSD
10,0.8939201767667636,dense2,WTs_CIFAR,SaSD
10,0.9627114857332248,dense3,WTs_CIFAR,SaSD
11,0.6716284834500295,conv1,WTs_CIFAR,SaSD
11,0.8612856222795223,conv2,WTs_CIFAR,SaSD
11,0.9698119143942249,dense1,WTs_CIFAR,SaSD
11,0.8940436737332045,dense2,WTs_CIFAR,SaSD
11,0.9571661844667345,dense3,WTs_CIFAR,SaSD
